ENTIDAD,MUNICIPIO,CODIGO,ID_ESTRATO,H001A
14,0,213111.0,99.0,
14,0,213119.0,,
14,0,213119.0,99.0,
14,0,22.0,,9667.0
14,0,22.0,1.0,287.0
14,0,22.0,2.0,1469.0
14,0,22.0,3.0,1181.0
14,0,22.0,4.0,6730.0
14,0,221.0,,9667.0
14,0,221.0,1.0,287.0
14,0,221.0,2.0,1469.0
14,0,221.0,3.0,1181.0
14,0,221.0,4.0,6730.0
14,0,2211.0,,
14,0,2211.0,99.0,
14,0,22111.0,,
14,0,22111.0,99.0,
14,0,221111.0,,
14,0,221111.0,99.0,
14,0,2212.0,,
14,0,2212.0,99.0,
14,0,22121.0,,
14,0,22121.0,99.0,
14,0,221210.0,,
14,0,221210.0,99.0,
14,0,2213.0,,6529.0
14,0,2213.0,1.0,287.0
14,0,2213.0,2.0,1469.0
14,0,2213.0,3.0,1107.0
14,0,2213.0,4.0,3666.0
14,0,22131.0,,6529.0
14,0,22131.0,1.0,287.0
14,0,22131.0,2.0,1469.0
14,0,22131.0,3.0,1107.0
14,0,22131.0,4.0,3666.0
14,0,221311.0,,20.0
14,0,221311.0,1.0,20.0
14,0,221312.0,,6509.0
14,0,221312.0,1.0,267.0
14,0,221312.0,2.0,1469.0
14,0,221312.0,3.0,1107.0
14,0,221312.0,4.0,3666.0
14,0,23.0,,62797.0
14,0,23.0,1.0,3218.0
14,0,23.0,2.0,13733.0
14,0,23.0,3.0,23413.0
14,0,23.0,4.0,22433.0
14,0,236.0,,41742.0
14,0,236.0,1.0,1350.0
14,0,236.0,2.0,7303.0
14,0,236.0,3.0,16325.0
14,0,236.0,4.0,16764.0
14,0,2361.0,,21471.0
14,0,2361.0,1.0,692.0
14,0,2361.0,2.0,3348.0
14,0,2361.0,3.0,8106.0
14,0,2361.0,4.0,9325.0
14,0,23611.0,,21471.0
14,0,23611.0,1.0,692.0
14,0,23611.0,2.0,3348.0
14,0,23611.0,3.0,8106.0
14,0,23611.0,4.0,9325.0
14,0,236111.0,,17976.0
14,0,236111.0,1.0,589.0
14,0,236111.0,2.0,2723.0
14,0,236111.0,3.0,6054.0
14,0,236111.0,4.0,8610.0
14,0,236112.0,,3131.0
14,0,236112.0,99.0,3131.0
14,0,236113.0,,364.0
14,0,236113.0,99.0,364.0
14,0,2362.0,,20271.0
14,0,2362.0,1.0,658.0
14,0,2362.0,2.0,3955.0
14,0,2362.0,3.0,8219.0
14,0,2362.0,4.0,7439.0
14,0,23621.0,,7621.0
14,0,23621.0,99.0,7621.0
14,0,236211.0,,
14,0,236211.0,99.0,
14,0,236212.0,,
14,0,236212.0,99.0,
14,0,23622.0,,12650.0
14,0,23622.0,99.0,12650.0
14,0,236221.0,,12590.0
14,0,236221.0,1.0,455.0
14,0,236221.0,2.0,2616.0
